,average_height,date,BTC_fees,USD_fees
206,778563,2023-02-27 23:13:09,0.207,4827
207,778582,2023-02-28 01:36:29,0.148,3449
208,778597,2023-02-28 04:29:18,0.147,3439
209,778611,2023-02-28 06:41:19,0.13,3049
210,778627,2023-02-28 09:13:21,0.112,2628
211,778643,2023-02-28 11:58:03,0.17,3947
212,778658,2023-02-28 14:13:18,0.153,3579
213,778671,2023-02-28 16:56:53,0.287,6732
214,778684,2023-02-28 19:18:25,0.246,5776
215,778700,2023-02-28 21:35:11,0.246,5770
216,778712,2023-03-01 00:29:02,0.292,6790
217,778725,2023-03-01 02:44:40,0.202,4685
218,778741,2023-03-01 05:09:44,0.134,3107
219,778758,2023-03-01 07:33:25,0.137,3223
220,778775,2023-03-01 10:04:58,0.144,3420
221,778791,2023-03-01 12:58:20,0.171,4063
222,778808,2023-03-01 15:20:56,0.178,4216
223,778828,2023-03-01 17:45:44,0.134,3165
224,778848,2023-03-01 20:21:06,0.17,4036
225,778867,2023-03-01 22:43:15,0.13,3079
226,778886,2023-03-02 01:14:19,0.135,3176
227,778904,2023-03-02 03:39:46,0.108,2553
228,778920,2023-03-02 06:20:43,0.105,2468
229,778933,2023-03-02 08:42:21,0.155,3638
230,778946,2023-03-02 11:07:02,0.152,3555
231,778966,2023-03-02 13:50:40,0.101,2352
232,778983,2023-03-02 15:57:47,0.193,4527
233,778995,2023-03-02 18:47:56,0.261,6081
234,779008,2023-03-02 21:01:56,0.249,5792
235,779022,2023-03-02 23:46:15,0.247,5808
236,779040,2023-03-03 02:27:15,0.175,4112
237,779058,2023-03-03 04:52:16,0.144,3225
238,779073,2023-03-03 07:05:08,0.138,3096
239,779087,2023-03-03 09:26:44,0.149,3341
240,779102,2023-03-03 12:07:37,0.18,4032
241,779117,2023-03-03 14:34:11,0.191,4280
242,779132,2023-03-03 17:22:52,0.249,5585
243,779151,2023-03-03 19:37:25,0.169,3781
244,779170,2023-03-03 22:16:28,0.181,4056
245,779191,2023-03-04 00:49:36,0.122,2720
246,779209,2023-03-04 02:59:41,0.172,3842
247,779222,2023-03-04 05:42:52,0.141,3150
248,779237,2023-03-04 08:08:20,0.14,3130
249,779251,2023-03-04 10:52:37,0.135,3018
250,779267,2023-03-04 13:10:12,0.11,2467
251,779284,2023-03-04 15:37:50,0.138,3079
252,779302,2023-03-04 18:25:20,0.126,2818
253,779321,2023-03-04 20:52:35,0.133,2980
254,779338,2023-03-04 23:29:22,0.129,2875
255,779355,2023-03-05 01:51:02,0.128,2846
256,779371,2023-03-05 04:14:05,0.091,2043
257,779386,2023-03-05 06:47:29,0.1,2250
258,779400,2023-03-05 09:14:33,0.089,2005
259,779420,2023-03-05 11:54:41,0.085,1908
260,779438,2023-03-05 13:50:52,0.098,2186
261,779449,2023-03-05 16:22:38,0.192,4320
262,779464,2023-03-05 19:11:11,0.151,3394
263,779482,2023-03-05 21:49:24,0.129,2884
264,779501,2023-03-06 00:04:18,0.102,2278
265,779517,2023-03-06 02:56:39,0.128,2874
266,779527,2023-03-06 05:11:30,0.142,3182
267,779540,2023-03-06 07:27:54,0.11,2460
268,779558,2023-03-06 10:31:42,0.094,2118
269,779571,2023-03-06 11:58:13,0.103,2320
